Loading rom...Done
                   x |   x |   x, loadOut:x --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||x outputRow: xxxxxxxxxxxxxxxx
                   0 |   0 |   0, loadOut:1 --- inputRow: 8181828383848585878788898a8b8c ||0 outputRow: 0000000000000000
                   1 |   0 |   1, loadOut:1 --- inputRow: 8182828384848585878888898b8c8c ||0 outputRow: xxxxxxxxxxxxxxxx
                   2 |   0 |   2, loadOut:1 --- inputRow: 82828383848586868888898a8b8c8d ||0 outputRow: 0000000000000000
                   3 |   0 |   3, loadOut:1 --- inputRow: 828383848586868688898a8b8c8d8e ||0 outputRow: 8384848587878889
                   4 |   0 |   4, loadOut:1 --- inputRow: 838384858686878789898a8b8c8d8e ||0 outputRow: 8484858587878889
                   5 |   1 |   5, loadOut:1 --- inputRow: 84848585868787888a8a8b8c8d8e8f ||0 outputRow: 848585868888898a
                   6 |   2 |   6, loadOut:0 --- inputRow: 84848586878788888a8b8b8c8e8f8f ||0 outputRow: 8586858688898a8b
                   7 |   3 |   7, loadOut:0 --- inputRow: 84858586878888898a8b8c8d8e8f90 ||0 outputRow: 8686878789898a8b
                   8 |   4 |   8, loadOut:0 --- inputRow: 848485868788898a8c8c8d8e909192 ||0 outputRow: 868787888a8a8b8c
                   9 |   5 |   9, loadOut:0 --- inputRow: 848585868889898a8c8c8d8f909192 ||0 outputRow: 878788888a8a8b8c
                  10 |   6 |  10, loadOut:0 --- inputRow: 8585868788898a8a8c8d8e8f909293 ||0 outputRow: 878888898a8b8c8d
                  11 |   7 |  11, loadOut:0 --- inputRow: 85868788898a8b8b8d8d8e90919293 ||0 outputRow: 8788898a8c8c8d8e
                  12 |   8 |  12, loadOut:0 --- inputRow: 86868788898a8b8c8e8e8f90929394 ||0 outputRow: 8889898a8c8c8d8f
                  13 |   9 |  13, loadOut:0 --- inputRow: 878788898a8b8c8c8e8f9091929495 ||0 outputRow: 8889898a8c8d8e8f
                  14 |  10 |  14, loadOut:1 --- inputRow: 878888898b8c8c8d8f8f9092939495 ||0 outputRow: 898a8a8b8d8d8e90
                  15 |  11 |  15, loadOut:1 --- inputRow: 8788898a8b8c8d8d8f909192939495 ||0 outputRow: 898a8b8c8e8e8f90
